cell_id,cell_lat,cell_lng
0,62.72611281474137,23.481567219685292
1,46.65700592286551,5.542613909264223
2,36.8091067301391,33.35884333936185
3,58.48022857618648,-4.490661183948269
4,38.386962453044106,-1.0334400097440415
5,55.44759265701198,29.087976502001755
6,65.3865857333421,-22.822691192814045
7,41.309669958420244,14.656377149642106
8,53.23012743690547,14.458173043800391
9,28.584418650121115,-17.37915501677957
10,65.81487716556005,24.77721614033415
11,44.31622313424048,-0.8446439550260847
12,52.3120111924339,-3.473606352486814
13,60.44341981884762,9.723839298282837
14,52.79492546947125,20.401965356391436
15,38.00432532479522,41.25348954528281
16,38.397355485060295,27.544650548029363
17,40.257505954578576,8.974337383699615
18,52.08833968396825,7.822107606180318
19,65.30103884765087,14.151658985153
20,40.71568598663455,-4.262160891269776
21,69.07929314009992,17.634152061432257
22,64.25401107235493,28.192905206339997
23,64.91428294580567,-14.881088052443967
24,52.404767682129666,29.992667959855115
25,45.68699184865879,11.65533628254426
26,56.19850340614182,13.972881761606406
27,40.63523939818879,32.608891133597034
28,37.54514519817475,14.352657591286325
29,55.36173608649345,-2.921633368273784
30,49.88531660108175,11.837623539336704
31,39.560764004598234,3.1157388346001
32,48.81502237648604,-1.2062307030547175
33,41.9540603339728,2.175505004584551
34,70.07578111495567,25.20477394319487
35,50.13769842198739,20.946957839214022
36,50.3778165160128,-4.775191727996577
37,38.83051330871141,35.35811113919953
38,43.06310142063135,-8.081662841379595
39,44.792112338072066,8.394202875183927
40,40.319094642369514,39.31423562102175
41,48.22357496256706,10.779317842579196
42,63.78019662723017,-20.275051857589432
43,61.87776912366829,16.615893637804543
44,37.544285520562,-3.6903259889552102
45,40.217959593964075,16.847512809279696
46,67.20758872668604,20.47173994622709
47,46.409414048895705,-0.37392113380956915
48,58.216731472671626,13.444634139330502
49,51.48910323184439,22.534040941242218
50,51.12762996625407,17.823662929389265
51,54.028770019805506,17.422091864938103
52,37.19151202841618,29.890403503114356
53,52.446937315001286,26.26930283175536
54,48.70712515355989,7.304238758421311
55,62.24183453713178,6.651546186798676
56,64.1263016982938,20.113945335804395
57,40.069728788551316,43.421552380585915
58,52.63299405990163,11.242997056168974
59,39.79388015162754,30.414992069430298
60,56.82492102491833,-4.84298244231256
61,57.438119170215536,18.10657699327163
62,48.33163421095456,-4.328513266042215
63,53.959571037206594,30.57393483646876
64,63.92016974164503,15.255740219661607
65,44.00557245739207,1.8534022781889359
66,65.82938715762761,-18.70740984220886
67,28.526632602640152,-14.07986733879271
68,53.54879917359176,-1.045267903269533
69,42.91186590913825,12.446516364034126
70,66.15386066334666,28.64856795227965
71,62.3528812653239,28.998526890635482
72,49.85958648189843,2.364214682421072
73,39.99917960578201,-0.30179407988658724
74,40.90497728824239,35.86121938534836
75,53.654926362481746,22.81034341066852
76,36.965668339582024,35.90408526819497
77,61.90790306540438,13.366956149751278
78,43.811078016223505,5.7763344475444995
79,47.74557240655284,2.727732918741431
80,59.828076985406724,16.47359651672938
81,65.62589740236375,18.57523721591135
82,63.64075112766978,10.439875795638713
83,45.785890766305904,3.379195487637585
84,51.63881785271807,13.80915802648799
85,53.92165110521815,9.140969768620396
86,42.21364731219823,9.307103439706932
87,50.38969251160388,8.550984466219992
88,42.04057812596142,-1.2043836480320558
89,61.046809199354826,23.93779292610284
90,51.771955472650966,-0.2098868235117991
91,43.08879761040846,-4.653218764909737
92,58.49991214429671,6.879608261724457
93,54.10074175588257,27.049050979776926
94,60.01796515405728,6.058689100135047
95,67.78588293274156,25.576447519109713
96,67.4491177645228,14.842990840422543
97,40.904987820811506,27.209304601010885
98,37.50468977169685,-6.07003275065709
99,54.713118887392305,-6.238499999763256
